source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:CC,GO:0005579,membrane attack complex,0.00019737553702258806,True,"""A protein complex produced by sequentially activated components of the complement cascade inserted into a target cell membrane and forming a pore leading to cell lysis via ion and water flow."" [GOC:add, ISBN:0198547684, ISBN:068340007X, ISBN:0781735149]",12,130,4,12235,0.03076923076923077,0.3333333333333333,query_1,"['GO:0046930', 'GO:0098797']","['ENSDARG00000016319', 'ENSDARG00000039516', 'ENSDARG00000039517', 'ENSDARG00000032098']","[['IEA'], ['IEA'], ['IEA'], ['IEA']]"
KEGG,KEGG:01100,Metabolic pathways,0.00020107006642321572,True,Metabolic pathways,1441,94,41,6524,0.43617021276595747,0.028452463566967384,query_1,['KEGG:00000'],"['ENSDARG00000018351', 'ENSDARG00000068478', 'ENSDARG00000042010', 'ENSDARG00000019532', 'ENSDARG00000029230', 'ENSDARG00000071076', 'ENSDARG00000007024', 'ENSDARG00000006220', 'ENSDARG00000079271', 'ENSDARG00000073786', 'ENSDARG00000043342', 'ENSDARG00000040190', 'ENSDARG00000015662', 'ENSDARG00000058005', 'ENSDARG00000093193', 'ENSDARG00000045414', 'ENSDARG00000070453', 'ENSDARG00000053068', 'ENSDARG00000097285', 'ENSDARG00000002986', 'ENSDARG00000068876', 'ENSDARG00000055240', 'ENSDARG00000038199', 'ENSDARG00000101762', 'ENSDARG00000034048', 'ENSDARG00000002394', 'ENSDARG00000074457', 'ENSDARG00000013056', 'ENSDARG00000003635', 'ENSDARG00000033594', 'ENSDARG00000043820', 'ENSDARG00000096445', 'ENSDARG00000008948', 'ENSDARG00000009153', 'ENSDARG00000057677', 'ENSDARG00000060280', 'ENSDARG00000042293', 'ENSDARG00000116259', 'ENSDARG00000031616', 'ENSDARG00000068474', 'ENSDARG00000004199']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
KEGG,KEGG:04977,Vitamin digestion and absorption,0.00022715667242660117,True,Vitamin digestion and absorption,32,94,6,6524,0.06382978723404255,0.1875,query_1,['KEGG:00000'],"['ENSDARG00000101324', 'ENSDARG00000042780', 'ENSDARG00000040298', 'ENSDARG00000020866', 'ENSDARG00000096445', 'ENSDARG00000094929']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:CC,GO:0034358,plasma lipoprotein particle,0.00023082297319183722,True,"""A spherical particle with a hydrophobic core of triglycerides and/or cholesterol esters, surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins. Plasma lipoprotein particles transport lipids, which are non-covalently associated with the particles, in the blood or lymph."" [GOC:BHF, GOC:expert_pt, GOC:rl]",5,130,3,12235,0.023076923076923078,0.6,query_1,"['GO:0005615', 'GO:1990777']","['ENSDARG00000092170', 'ENSDARG00000092155', 'ENSDARG00000030872']","[['IBA'], ['IBA', 'IEA'], ['IEA']]"
GO:CC,GO:1990777,lipoprotein particle,0.00023082297319183722,True,"""A spherical particle containing non-covalently associated proteins and lipids. Examples are plasma lipoprotein particles which transport lipids in the blood or lymph."" [GOC:vesicles]",5,130,3,12235,0.023076923076923078,0.6,query_1,['GO:0032994'],"['ENSDARG00000092170', 'ENSDARG00000092155', 'ENSDARG00000030872']","[['IBA'], ['IBA', 'IEA'], ['IEA']]"
GO:CC,GO:0032994,protein-lipid complex,0.00023082297319183722,True,"""A macromolecular complex containing separate protein and lipid molecules. Separate in this context means not covalently bound to each other."" [GOC:mah]",5,130,3,12235,0.023076923076923078,0.6,query_1,['GO:0032991'],"['ENSDARG00000092170', 'ENSDARG00000092155', 'ENSDARG00000030872']","[['IBA'], ['IBA', 'IEA'], ['IEA']]"
KEGG,KEGG:00592,alpha-Linolenic acid metabolism,0.00028067450757758496,True,alpha-Linolenic acid metabolism,21,94,5,6524,0.05319148936170213,0.23809523809523808,query_1,['KEGG:00000'],"['ENSDARG00000019532', 'ENSDARG00000015662', 'ENSDARG00000096445', 'ENSDARG00000008948', 'ENSDARG00000009153']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
GO:CC,GO:0046930,pore complex,0.0003510686822185271,True,"""A protein complex providing a discrete opening in a membrane that allows the passage of gases and/or liquids."" [ISBN:0198506732]",16,130,4,12235,0.03076923076923077,0.25,query_1,['GO:0098796'],"['ENSDARG00000016319', 'ENSDARG00000039516', 'ENSDARG00000039517', 'ENSDARG00000032098']","[['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0065008,regulation of biological quality,0.00040498714229382586,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",376,151,15,14996,0.09933774834437085,0.0398936170212766,query_1,['GO:0065007'],"['ENSDARG00000027355', 'ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000057498', 'ENSDARG00000016412', 'ENSDARG00000075827', 'ENSDARG00000104450', 'ENSDARG00000034862', 'ENSDARG00000100782', 'ENSDARG00000070140', 'ENSDARG00000009470', 'ENSDARG00000076401', 'ENSDARG00000057098']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IBA'], ['IEA']]"
GO:BP,GO:0044281,small molecule metabolic process,0.0004132227564318196,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",644,151,20,14996,0.13245033112582782,0.031055900621118012,query_1,['GO:0008152'],"['ENSDARG00000018351', 'ENSDARG00000042010', 'ENSDARG00000029230', 'ENSDARG00000071076', 'ENSDARG00000021172', 'ENSDARG00000058005', 'ENSDARG00000053500', 'ENSDARG00000045414', 'ENSDARG00000070453', 'ENSDARG00000002986', 'ENSDARG00000055240', 'ENSDARG00000101762', 'ENSDARG00000070140', 'ENSDARG00000034048', 'ENSDARG00000074457', 'ENSDARG00000013056', 'ENSDARG00000043820', 'ENSDARG00000091503', 'ENSDARG00000031616', 'ENSDARG00000089177']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IBA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA']]"
GO:BP,GO:0006955,immune response,0.0004132227564318196,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",334,151,14,14996,0.09271523178807947,0.041916167664670656,query_1,"['GO:0002376', 'GO:0050896']","['ENSDARG00000016771', 'ENSDARG00000016319', 'ENSDARG00000055278', 'ENSDARG00000053831', 'ENSDARG00000052207', 'ENSDARG00000039516', 'ENSDARG00000019772', 'ENSDARG00000039517', 'ENSDARG00000029388', 'ENSDARG00000032098', 'ENSDARG00000070453', 'ENSDARG00000075163', 'ENSDARG00000055388', 'ENSDARG00000096304']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IBA']]"
GO:MF,GO:0016491,oxidoreductase activity,0.0005392088364757678,True,"""Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."" [EC:1.-.-.-]",753,255,24,21077,0.09411764705882353,0.03187250996015936,query_1,['GO:0003824'],"['ENSDARG00000018351', 'ENSDARG00000068478', 'ENSDARG00000010312', 'ENSDARG00000019532', 'ENSDARG00000071429', 'ENSDARG00000071076', 'ENSDARG00000021172', 'ENSDARG00000079271', 'ENSDARG00000043342', 'ENSDARG00000040190', 'ENSDARG00000101861', 'ENSDARG00000058005', 'ENSDARG00000101423', 'ENSDARG00000025595', 'ENSDARG00000018459', 'ENSDARG00000053068', 'ENSDARG00000068876', 'ENSDARG00000055240', 'ENSDARG00000070140', 'ENSDARG00000034048', 'ENSDARG00000104593', 'ENSDARG00000091503', 'ENSDARG00000006501', 'ENSDARG00000089177']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006629,lipid metabolic process,0.000721661565876406,True,"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]",506,151,17,14996,0.11258278145695365,0.03359683794466403,query_1,['GO:0044238'],"['ENSDARG00000092170', 'ENSDARG00000019532', 'ENSDARG00000092155', 'ENSDARG00000015662', 'ENSDARG00000089310', 'ENSDARG00000025595', 'ENSDARG00000045414', 'ENSDARG00000070140', 'ENSDARG00000034048', 'ENSDARG00000103253', 'ENSDARG00000003635', 'ENSDARG00000096445', 'ENSDARG00000008948', 'ENSDARG00000009153', 'ENSDARG00000091503', 'ENSDARG00000098099', 'ENSDARG00000089177']","[['IBA'], ['IEA'], ['IMP', 'IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006950,response to stress,0.001373049652211561,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",648,151,19,14996,0.12582781456953643,0.029320987654320986,query_1,['GO:0050896'],"['ENSDARG00000016771', 'ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000068478', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000043342', 'ENSDARG00000052207', 'ENSDARG00000057498', 'ENSDARG00000075827', 'ENSDARG00000075632', 'ENSDARG00000034862', 'ENSDARG00000018459', 'ENSDARG00000070453', 'ENSDARG00000114317', 'ENSDARG00000100782', 'ENSDARG00000075163', 'ENSDARG00000102175', 'ENSDARG00000096304']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IDA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA']]"
GO:MF,GO:0004252,serine-type endopeptidase activity,0.0014184037838455192,True,"""Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."" [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE]",245,255,12,21077,0.047058823529411764,0.04897959183673469,query_1,"['GO:0004175', 'GO:0008236']","['ENSDARG00000023111', 'ENSDARG00000055278', 'ENSDARG00000100248', 'ENSDARG00000057498', 'ENSDARG00000019772', 'ENSDARG00000099425', 'ENSDARG00000075827', 'ENSDARG00000103308', 'ENSDARG00000019451', 'ENSDARG00000007988', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006959,humoral immune response,0.0015785340301076255,True,"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]",19,151,4,14996,0.026490066225165563,0.21052631578947367,query_1,['GO:0006955'],"['ENSDARG00000016771', 'ENSDARG00000055278', 'ENSDARG00000019772', 'ENSDARG00000032098']","[['IBA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006508,proteolysis,0.0020917414981104494,True,"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]",616,151,18,14996,0.11920529801324503,0.02922077922077922,query_1,['GO:0019538'],"['ENSDARG00000023111', 'ENSDARG00000021339', 'ENSDARG00000055278', 'ENSDARG00000100248', 'ENSDARG00000057498', 'ENSDARG00000019772', 'ENSDARG00000099425', 'ENSDARG00000075827', 'ENSDARG00000103308', 'ENSDARG00000019451', 'ENSDARG00000007988', 'ENSDARG00000034862', 'ENSDARG00000052855', 'ENSDARG00000097285', 'ENSDARG00000100782', 'ENSDARG00000008553', 'ENSDARG00000041083', 'ENSDARG00000012395']","[['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0002376,immune system process,0.002481145429067462,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",405,151,14,14996,0.09271523178807947,0.0345679012345679,query_1,['GO:0008150'],"['ENSDARG00000016771', 'ENSDARG00000016319', 'ENSDARG00000055278', 'ENSDARG00000053831', 'ENSDARG00000052207', 'ENSDARG00000039516', 'ENSDARG00000019772', 'ENSDARG00000039517', 'ENSDARG00000029388', 'ENSDARG00000032098', 'ENSDARG00000070453', 'ENSDARG00000075163', 'ENSDARG00000055388', 'ENSDARG00000096304']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IBA']]"
GO:MF,GO:0017171,serine hydrolase activity,0.0025744906024807294,True,"""Catalysis of the hydrolysis of a substrate by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."" [Wikipedia:Serine_hydrolase]",265,255,12,21077,0.047058823529411764,0.045283018867924525,query_1,['GO:0016787'],"['ENSDARG00000023111', 'ENSDARG00000055278', 'ENSDARG00000100248', 'ENSDARG00000057498', 'ENSDARG00000019772', 'ENSDARG00000099425', 'ENSDARG00000075827', 'ENSDARG00000103308', 'ENSDARG00000019451', 'ENSDARG00000007988', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0008236,serine-type peptidase activity,0.0025744906024807294,True,"""Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."" [https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE]",265,255,12,21077,0.047058823529411764,0.045283018867924525,query_1,"['GO:0008233', 'GO:0017171']","['ENSDARG00000023111', 'ENSDARG00000055278', 'ENSDARG00000100248', 'ENSDARG00000057498', 'ENSDARG00000019772', 'ENSDARG00000099425', 'ENSDARG00000075827', 'ENSDARG00000103308', 'ENSDARG00000019451', 'ENSDARG00000007988', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0050482,arachidonate secretion,0.0028414312584775885,True,"""The controlled release of arachidonic acid from a cell or a tissue."" [GOC:ai]",9,151,3,14996,0.019867549668874173,0.3333333333333333,query_1,"['GO:0032309', 'GO:1903963']","['ENSDARG00000015662', 'ENSDARG00000008948', 'ENSDARG00000009153']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0032309,icosanoid secretion,0.0028414312584775885,True,"""The controlled release of icosanoids, any of a group of C20 polyunsaturated fatty acids from a cell or a tissue."" [GOC:mah]",9,151,3,14996,0.019867549668874173,0.3333333333333333,query_1,"['GO:0046903', 'GO:0071715']","['ENSDARG00000015662', 'ENSDARG00000008948', 'ENSDARG00000009153']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:1903963,arachidonate transport,0.0028414312584775885,True,"""The directed movement of an arachidonate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GO_REF:0000065, GOC:bhm, GOC:TermGenie, PMID:15642721]",9,151,3,14996,0.019867549668874173,0.3333333333333333,query_1,"['GO:0015909', 'GO:0071715']","['ENSDARG00000015662', 'ENSDARG00000008948', 'ENSDARG00000009153']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0046113,nucleobase catabolic process,0.003114145988557936,True,"""The chemical reactions and pathways resulting in the breakdown of a nucleobase, a nitrogenous base that is a constituent of a nucleic acid."" [GOC:ai]",2,151,2,14996,0.013245033112582781,1.0,query_1,"['GO:0009056', 'GO:0009112']","['ENSDARG00000002986', 'ENSDARG00000055240']","[['IEA'], ['IBA']]"
GO:BP,GO:0006145,purine nucleobase catabolic process,0.003114145988557936,True,"""The chemical reactions and pathways resulting in the breakdown of purine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, which include adenine and guanine."" [GOC:go_curators]",2,151,2,14996,0.013245033112582781,1.0,query_1,"['GO:0006144', 'GO:0046113', 'GO:0072523']","['ENSDARG00000002986', 'ENSDARG00000055240']","[['IEA'], ['IBA']]"
GO:BP,GO:0034381,plasma lipoprotein particle clearance,0.003114145988557936,True,"""The process in which a lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded."" [GOC:ascb_2009, GOC:BHF, GOC:dph, GOC:mah, GOC:tb]",2,151,2,14996,0.013245033112582781,1.0,query_1,"['GO:0032501', 'GO:0097006']","['ENSDARG00000092170', 'ENSDARG00000092155']","[['IBA'], ['IBA']]"
GO:BP,GO:0071715,icosanoid transport,0.0032543667605044553,True,"""The directed movement of icosanoids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Icosanoids are unsaturated C20 fatty acids and skeletally related compounds."" [GOC:mah]",10,151,3,14996,0.019867549668874173,0.3,query_1,['GO:0046942'],"['ENSDARG00000015662', 'ENSDARG00000008948', 'ENSDARG00000009153']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006956,complement activation,0.0032543667605044553,True,"""Any process involved in the activation of any of the steps of the complement cascade, which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes; the initial steps of complement activation involve one of three pathways, the classical pathway, the alternative pathway, and the lectin pathway, all of which lead to the terminal complement pathway."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",10,151,3,14996,0.019867549668874173,0.3,query_1,"['GO:0002252', 'GO:0002253', 'GO:0006959']","['ENSDARG00000055278', 'ENSDARG00000019772', 'ENSDARG00000032098']","[['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0020037,heme binding,0.007333483254562232,True,"""Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."" [GOC:ai]",176,255,9,21077,0.03529411764705882,0.05113636363636364,query_1,['GO:0046906'],"['ENSDARG00000071429', 'ENSDARG00000021172', 'ENSDARG00000101861', 'ENSDARG00000101423', 'ENSDARG00000053068', 'ENSDARG00000104593', 'ENSDARG00000033594', 'ENSDARG00000006501', 'ENSDARG00000089177']","[['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0046906,tetrapyrrole binding,0.007949874393445673,True,"""Binding to a tetrapyrrole, a compound containing four pyrrole nuclei variously substituted and linked to each other through carbons at the alpha position."" [GOC:curators, ISBN:0198506732]",181,255,9,21077,0.03529411764705882,0.049723756906077346,query_1,['GO:0005488'],"['ENSDARG00000071429', 'ENSDARG00000021172', 'ENSDARG00000101861', 'ENSDARG00000101423', 'ENSDARG00000053068', 'ENSDARG00000104593', 'ENSDARG00000033594', 'ENSDARG00000006501', 'ENSDARG00000089177']","[['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0004623,A2-type glycerophospholipase activity,0.007949874393445673,True,"""A glycerophospholipase activity that cleaves the fatty acid attached to the sn-2 position of the glycerol group of a glycerophospholipid. Substrates include phosphatidylcholine, phosphatidylethanolamine, choline plasmalogen and phosphatides."" [PMID:30109646]",12,255,3,21077,0.011764705882352941,0.25,query_1,"['GO:0004620', 'GO:0052689']","['ENSDARG00000015662', 'ENSDARG00000008948', 'ENSDARG00000009153']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0048251,elastic fiber assembly,0.008249373785231013,True,"""Assembly of the extracellular matrix fibers that enables the matrix to recoil after transient stretching."" [GOC:jid, PMID:10841810, PMID:12615674]",3,151,2,14996,0.013245033112582781,0.6666666666666666,query_1,"['GO:0085029', 'GO:0097435']","['ENSDARG00000096586', 'ENSDARG00000094408']","[['IBA'], ['IBA']]"
GO:CC,GO:0034385,triglyceride-rich plasma lipoprotein particle,0.00843663940838558,True,"""A plasma lipoprotein particle that has a hydrophobic core enriched in triglycerides surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins. Triglyceride-rich lipoprotein particles transport lipids, which are non-covalently associated with the particles, in the blood."" [GOC:BHF, GOC:mah, GOC:rl]",4,130,2,12235,0.015384615384615385,0.5,query_1,['GO:0034358'],"['ENSDARG00000092170', 'ENSDARG00000092155']","[['IBA'], ['IBA', 'IEA']]"
GO:CC,GO:0005577,fibrinogen complex,0.00843663940838558,True,"""A highly soluble, elongated protein complex found in blood plasma and involved in clot formation. It is converted into fibrin monomer by the action of thrombin. In the mouse, fibrinogen is a hexamer, 46 nm long and 9 nm maximal diameter, containing two sets of nonidentical chains (alpha, beta, and gamma) linked together by disulfide bonds."" [ISBN:0198547684]",4,130,2,12235,0.015384615384615385,0.5,query_1,"['GO:0005615', 'GO:0032991']","['ENSDARG00000020741', 'ENSDARG00000008969']","[['IEA'], ['IEA']]"
GO:CC,GO:0034361,very-low-density lipoprotein particle,0.00843663940838558,True,"""A triglyceride-rich lipoprotein particle that is typically composed of APOB100, APOE and APOCs and has a density of about 1.006 g/ml and a diameter of between 20-80 nm. It is found in blood and transports endogenous products (newly synthesized cholesterol and triglycerides) from the liver."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]",4,130,2,12235,0.015384615384615385,0.5,query_1,['GO:0034385'],"['ENSDARG00000092170', 'ENSDARG00000092155']","[['IBA'], ['IBA', 'IEA']]"
GO:BP,GO:0015909,long-chain fatty acid transport,0.008899022135288875,True,"""The directed movement of a long-chain fatty acid into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A long-chain fatty acid has an aliphatic tail containing 13 to 22 carbons."" [GOC:ai]",14,151,3,14996,0.019867549668874173,0.21428571428571427,query_1,['GO:0015908'],"['ENSDARG00000015662', 'ENSDARG00000008948', 'ENSDARG00000009153']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0046903,secretion,0.008953453675184084,True,"""The controlled release of a substance by a cell or a tissue."" [GOC:ai]",93,151,6,14996,0.039735099337748346,0.06451612903225806,query_1,['GO:0006810'],"['ENSDARG00000015662', 'ENSDARG00000008948', 'ENSDARG00000009153', 'ENSDARG00000009470', 'ENSDARG00000078902', 'ENSDARG00000057098']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006022,aminoglycan metabolic process,0.009661601088187621,True,"""The chemical reactions and pathways involving aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages."" [GOC:ai, ISBN:0198506732]",15,151,3,14996,0.019867549668874173,0.2,query_1,"['GO:0043170', 'GO:1901135']","['ENSDARG00000045516', 'ENSDARG00000055036', 'ENSDARG00000116259']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006066,alcohol metabolic process,0.009661601088187621,True,"""The chemical reactions and pathways involving alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom."" [ISBN:0198506732]",62,151,5,14996,0.033112582781456956,0.08064516129032258,query_1,['GO:0044281'],"['ENSDARG00000070453', 'ENSDARG00000070140', 'ENSDARG00000034048', 'ENSDARG00000013056', 'ENSDARG00000089177']","[['IBA', 'IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA']]"
